,Name,Team,Position,Height,College,Number,Age,Weight,Salary
316,Mike Muscala,Atlanta Hawks,PF,11-Jun,Bucknell,31,24,240,947276
317,Lamar Patterson,Atlanta Hawks,SG,5-Jun,Pittsburgh,13,24,225,525093
318,Dennis Schroder,Atlanta Hawks,PG,1-Jun,N/A,17,22,172,1763400
319,Mike Scott,Atlanta Hawks,PF,8-Jun,Virginia,32,27,237,3333333
320,Thabo Sefolosha,Atlanta Hawks,SF,7-Jun,N/A,25,32,220,4000000
321,Tiago Splitter,Atlanta Hawks,C,11-Jun,N/A,11,31,245,9756250
322,Walter Tavares,Atlanta Hawks,C,3-Jul,N/A,22,24,260,1000000
323,Jeff Teague,Atlanta Hawks,PG,2-Jun,Wake Forest,0,27,186,8000000
324,Nicolas Batum,Charlotte Hornets,SG,8-Jun,N/A,5,27,200,13125306
325,Troy Daniels,Charlotte Hornets,SG,4-Jun,Virginia Commonwealth,30,24,205,947276
326,Jorge Gutierrez,Charlotte Hornets,PG,3-Jun,California,12,27,189,189455
327,Tyler Hansbrough,Charlotte Hornets,PF,9-Jun,North Carolina,50,30,250,947276
328,Aaron Harrison,Charlotte Hornets,SG,6-Jun,Kentucky,9,21,210,525093
329,Spencer Hawes,Charlotte Hornets,PF,1-Jul,Washington,0,28,245,6110034
330,Al Jefferson,Charlotte Hornets,C,10-Jun,N/A,25,31,289,13500000
331,Frank Kaminsky III,Charlotte Hornets,C,Jul-00,Wisconsin,44,23,240,2612520
332,Michael Kidd-Gilchrist,Charlotte Hornets,SF,7-Jun,Kentucky,14,22,232,6331404
333,Jeremy Lamb,Charlotte Hornets,SG,5-Jun,Connecticut,3,24,185,3034356
334,Courtney Lee,Charlotte Hornets,SG,5-Jun,Western Kentucky,1,30,200,5675000
335,Jeremy Lin,Charlotte Hornets,PG,3-Jun,Harvard,7,27,200,2139000
336,Kemba Walker,Charlotte Hornets,PG,1-Jun,Connecticut,15,26,184,12000000
337,Marvin Williams,Charlotte Hornets,PF,9-Jun,North Carolina,2,29,237,7000000
338,Cody Zeller,Charlotte Hornets,C,Jul-00,Indiana,40,23,240,4204200
339,Chris Bosh,Miami Heat,PF,11-Jun,Georgia Tech,1,32,235,22192730
340,Luol Deng,Miami Heat,SF,9-Jun,Duke,9,31,220,10151612
341,Goran Dragic,Miami Heat,PG,3-Jun,N/A,7,30,190,14783000
342,Gerald Green,Miami Heat,SF,7-Jun,N/A,14,30,205,947276
343,Udonis Haslem,Miami Heat,PF,8-Jun,Florida,40,36,235,2854940
344,Joe Johnson,Miami Heat,SF,7-Jun,Arkansas,2,34,240,261894
345,Tyler Johnson,Miami Heat,SG,4-Jun,Fresno State,8,24,186,845059
346,Josh McRoberts,Miami Heat,PF,10-Jun,Duke,4,29,240,5543725
347,Josh Richardson,Miami Heat,SG,6-Jun,Tennessee,0,22,200,525093
348,Amar'e Stoudemire,Miami Heat,PF,10-Jun,N/A,5,33,245,947276
349,Dwyane Wade,Miami Heat,SG,4-Jun,Marquette,3,34,220,20000000
350,Briante Weber,Miami Heat,PG,2-Jun,Virginia Commonwealth,12,23,165,0
351,Hassan Whiteside,Miami Heat,C,Jul-00,Marshall,21,26,265,981348
352,Justise Winslow,Miami Heat,SF,7-Jun,Duke,20,20,225,2481720
353,Dorell Wright,Miami Heat,SF,9-Jun,N/A,11,30,205,0
354,Dewayne Dedmon,Orlando Magic,C,Jul-00,USC,3,26,245,947276
355,Evan Fournier,Orlando Magic,SG,7-Jun,N/A,10,23,205,2288205
356,Aaron Gordon,Orlando Magic,PF,9-Jun,Arizona,0,20,220,4171680
357,Mario Hezonja,Orlando Magic,SG,8-Jun,N/A,23,21,218,3741480
358,Ersan Ilyasova,Orlando Magic,PF,10-Jun,N/A,7,29,235,7900000
359,Brandon Jennings,Orlando Magic,PG,1-Jun,N/A,55,26,169,8344497
360,Devyn Marble,Orlando Magic,SF,6-Jun,Iowa,11,23,200,845059
361,Shabazz Napier,Orlando Magic,PG,1-Jun,Connecticut,13,24,175,1294440
362,Andrew Nicholson,Orlando Magic,PF,9-Jun,St. Bonaventure,44,26,250,2380593
363,Victor Oladipo,Orlando Magic,SG,4-Jun,Indiana,5,24,210,5192520
364,Elfrid Payton,Orlando Magic,PG,4-Jun,Louisiana-Lafayette,4,22,185,2505720
365,Jason Smith,Orlando Magic,PF,Jul-00,Colorado State,14,30,240,4300000
366,Nikola Vucevic,Orlando Magic,C,Jul-00,USC,9,25,260,11250000
367,C.J. Watson,Orlando Magic,PG,2-Jun,Tennessee,32,32,175,5000000
368,Alan Anderson,Washington Wizards,SG,6-Jun,Michigan State,6,33,220,4000000
369,Bradley Beal,Washington Wizards,SG,5-Jun,Florida,3,22,207,5694674
370,Jared Dudley,Washington Wizards,SF,7-Jun,Boston College,1,30,225,4375000
371,Jarell Eddie,Washington Wizards,SG,7-Jun,Virginia Tech,8,24,218,561716
372,Drew Gooden,Washington Wizards,PF,10-Jun,Kansas,90,34,250,3300000
373,Marcin Gortat,Washington Wizards,C,11-Jun,N/A,13,32,240,11217391
374,JJ Hickson,Washington Wizards,C,9-Jun,North Carolina State,21,27,242,273038
375,Nene Hilario,Washington Wizards,C,11-Jun,N/A,42,33,250,13000000
376,Markieff Morris,Washington Wizards,PF,10-Jun,Kansas,5,26,245,8000000
377,Kelly Oubre Jr.,Washington Wizards,SF,7-Jun,Kansas,12,20,205,1920240
378,Otto Porter Jr.,Washington Wizards,SF,8-Jun,Georgetown,22,23,198,4662960
379,Ramon Sessions,Washington Wizards,PG,3-Jun,Nevada,7,30,190,2170465
380,Garrett Temple,Washington Wizards,SG,6-Jun,LSU,17,30,195,1100602
381,Marcus Thornton,Washington Wizards,SF,4-Jun,LSU,15,29,205,200600
382,John Wall,Washington Wizards,PG,4-Jun,Kentucky,2,25,195,15851950
383,Darrell Arthur,Denver Nuggets,PF,9-Jun,Kansas,0,28,235,2814000
384,D.J. Augustin,Denver Nuggets,PG,Jun-00,Texas,12,28,183,3000000
385,Will Barton,Denver Nuggets,SF,6-Jun,Memphis,5,25,175,3533333
386,Wilson Chandler,Denver Nuggets,SF,8-Jun,DePaul,21,29,225,10449438
387,Kenneth Faried,Denver Nuggets,PF,8-Jun,Morehead State,35,26,228,11235955
388,Danilo Gallinari,Denver Nuggets,SF,10-Jun,N/A,8,27,225,14000000
389,Gary Harris,Denver Nuggets,SG,4-Jun,Michigan State,14,21,210,1584480
390,Nikola Jokic,Denver Nuggets,C,10-Jun,N/A,15,21,250,1300000
391,Joffrey Lauvergne,Denver Nuggets,C,11-Jun,N/A,77,24,220,1709719
392,Mike Miller,Denver Nuggets,SG,8-Jun,Florida,3,36,218,947276
393,Emmanuel Mudiay,Denver Nuggets,PG,5-Jun,N/A,0,20,200,3102240
394,Jameer Nelson,Denver Nuggets,PG,Jun-00,Saint Joseph's,1,34,190,4345000
395,Jusuf Nurkic,Denver Nuggets,C,Jul-00,N/A,23,21,280,1842000
396,JaKarr Sampson,Denver Nuggets,SG,9-Jun,St. John's,9,23,214,258489
397,Axel Toupane,Denver Nuggets,SG,7-Jun,N/A,6,23,210,0
398,Nemanja Bjelica,Minnesota Timberwolves,PF,10-Jun,N/A,88,28,240,3950001
399,Gorgui Dieng,Minnesota Timberwolves,C,11-Jun,Louisville,5,26,241,1474440
400,Kevin Garnett,Minnesota Timberwolves,PF,11-Jun,N/A,21,40,240,8500000
401,Tyus Jones,Minnesota Timberwolves,PG,2-Jun,Duke,1,20,195,1282080
402,Zach LaVine,Minnesota Timberwolves,PG,5-Jun,UCLA,8,21,189,2148360
403,Shabazz Muhammad,Minnesota Timberwolves,SF,6-Jun,UCLA,15,23,223,2056920
404,Adreian Payne,Minnesota Timberwolves,PF,10-Jun,Michigan State,33,25,237,1938840
405,Nikola Pekovic,Minnesota Timberwolves,C,11-Jun,N/A,14,30,307,12100000
406,Tayshaun Prince,Minnesota Timberwolves,SF,9-Jun,Kentucky,12,36,212,947276
407,Ricky Rubio,Minnesota Timberwolves,PG,4-Jun,N/A,9,25,194,12700000
408,Damjan Rudez,Minnesota Timberwolves,SF,9-Jun,N/A,10,29,230,1149500
409,Greg Smith,Minnesota Timberwolves,PF,10-Jun,Fresno State,4,25,250,0
410,Karl-Anthony Towns,Minnesota Timberwolves,C,Jul-00,Kentucky,32,20,244,5703600
411,Andrew Wiggins,Minnesota Timberwolves,SG,8-Jun,Kansas,22,21,199,5758680
412,Steven Adams,Oklahoma City Thunder,C,Jul-00,Pittsburgh,12,22,255,2279040
413,Nick Collison,Oklahoma City Thunder,PF,10-Jun,Kansas,4,35,255,3750000
414,Kevin Durant,Oklahoma City Thunder,SF,9-Jun,Texas,35,27,240,20158622
415,Randy Foye,Oklahoma City Thunder,SG,4-Jun,Villanova,6,32,213,3135000
416,Josh Huestis,Oklahoma City Thunder,SF,7-Jun,Stanford,34,24,230,1140240
417,Serge Ibaka,Oklahoma City Thunder,PF,10-Jun,N/A,9,26,245,12250000
418,Enes Kanter,Oklahoma City Thunder,C,11-Jun,Kentucky,11,24,245,16407500
419,Mitch McGary,Oklahoma City Thunder,PF,10-Jun,Michigan,33,24,255,1463040
420,Nazr Mohammed,Oklahoma City Thunder,C,10-Jun,Kentucky,13,38,250,222888
421,Anthony Morrow,Oklahoma City Thunder,SG,5-Jun,Georgia Tech,2,30,210,3344000
422,Cameron Payne,Oklahoma City Thunder,PG,3-Jun,Murray State,22,21,185,2021520
423,Andre Roberson,Oklahoma City Thunder,SG,7-Jun,Colorado,21,24,210,1210800
424,Kyle Singler,Oklahoma City Thunder,SF,8-Jun,Duke,5,28,228,4500000
425,Dion Waiters,Oklahoma City Thunder,SG,4-Jun,Syracuse,3,24,220,5138430
426,Russell Westbrook,Oklahoma City Thunder,PG,3-Jun,UCLA,0,27,200,16744218
427,Cliff Alexander,Portland Trail Blazers,PF,8-Jun,Kansas,34,20,240,525093
428,Al-Farouq Aminu,Portland Trail Blazers,SF,9-Jun,Wake Forest,8,25,215,8042895
429,Pat Connaughton,Portland Trail Blazers,SG,5-Jun,Notre Dame,5,23,206,625093
430,Allen Crabbe,Portland Trail Blazers,SG,6-Jun,California,23,24,210,947276
431,Ed Davis,Portland Trail Blazers,C,10-Jun,North Carolina,17,27,240,6980802
432,Maurice Harkless,Portland Trail Blazers,SF,9-Jun,St. John's,4,23,215,2894059
433,Gerald Henderson,Portland Trail Blazers,SG,5-Jun,Duke,9,28,215,6000000
434,Chris Kaman,Portland Trail Blazers,C,Jul-00,Central Michigan,35,34,265,5016000
435,Meyers Leonard,Portland Trail Blazers,PF,1-Jul,Illinois,11,24,245,3075880
436,Damian Lillard,Portland Trail Blazers,PG,3-Jun,Weber State,0,25,195,4236287
437,C.J. McCollum,Portland Trail Blazers,SG,4-Jun,Lehigh,3,24,200,2525160
438,Luis Montero,Portland Trail Blazers,SG,7-Jun,Westchester CC,44,23,185,525093
439,Mason Plumlee,Portland Trail Blazers,C,11-Jun,Duke,24,26,235,1415520
440,Brian Roberts,Portland Trail Blazers,PG,1-Jun,Dayton,2,30,173,2854940
441,Noah Vonleh,Portland Trail Blazers,PF,9-Jun,Indiana,21,20,240,2637720
442,Trevor Booker,Utah Jazz,PF,8-Jun,Clemson,33,28,228,4775000
443,Trey Burke,Utah Jazz,PG,1-Jun,Michigan,3,23,191,2658240
444,Alec Burks,Utah Jazz,SG,6-Jun,Colorado,10,24,214,9463484
445,Dante Exum,Utah Jazz,PG,6-Jun,N/A,11,20,190,3777720
446,Derrick Favors,Utah Jazz,PF,10-Jun,Georgia Tech,15,24,265,12000000
447,Rudy Gobert,Utah Jazz,C,1-Jul,N/A,27,23,245,1175880
448,Gordon Hayward,Utah Jazz,SF,8-Jun,Butler,20,26,226,15409570
449,Rodney Hood,Utah Jazz,SG,8-Jun,Duke,5,23,206,1348440
450,Joe Ingles,Utah Jazz,SF,8-Jun,N/A,2,28,226,2050000
451,Chris Johnson,Utah Jazz,SF,6-Jun,Dayton,23,26,206,981348
452,Trey Lyles,Utah Jazz,PF,10-Jun,Kentucky,41,20,234,2239800
453,Shelvin Mack,Utah Jazz,PG,3-Jun,Butler,8,26,203,2433333
454,Raul Neto,Utah Jazz,PG,1-Jun,N/A,25,24,179,900000
455,Tibor Pleiss,Utah Jazz,C,3-Jul,N/A,21,26,256,2900000
456,Jeff Withey,Utah Jazz,C,Jul-00,Kansas,24,26,231,947276
